source_file,system_zh,olive_brand,adulterant,round,ratio,olive_fraction_pct,adulteration_pct,adulteration_class,eem_mean,eem_max,eem_std,eem_total,blue_430_480_mean,blue_430_480_max,green_500_560_mean,green_500_560_max,red_600_640_mean,red_600_640_max,uv_red_600_640_mean,uv_blue_430_480_mean,visible_430_640_total,red_blue_ratio,red_green_ratio,green_blue_ratio,red_visible_fraction
data/伯爵特级初榨混西王玉米胚芽油/第三轮/3：8/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,3:8,27.2727,72.7273,heavy_adulteration,238.39613342285156,7319.47021484375,671.7988891601562,2252843.5,149.0540313720703,4410.0400390625,89.17259979248047,2072.010009765625,57.865150451660156,1328.9100341796875,0.0,0.0,525471.6875,0.3882159343882528,0.648911772645524,0.5982568762037034,0.1486625349816803
data/伯爵特级初榨混西王玉米胚芽油/第三轮/4：7/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,4:7,36.3636,63.6364,heavy_adulteration,252.9116973876953,7844.080078125,725.5140380859375,2390015.5,161.96043395996094,5182.5400390625,112.92386627197266,2620.43994140625,76.0265884399414,1708.530029296875,0.0,0.0,624478.5,0.46941457312544466,0.6732552672574912,0.6972311867394598,0.1643545624466425
data/伯爵特级初榨混西王玉米胚芽油/第三轮/5：6/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,5:6,45.4545,54.5455,heavy_adulteration,272.1170349121094,8539.91015625,794.8591918945312,2571506.0,174.06182861328125,5189.9501953125,141.84027099609375,3233.280029296875,97.49818420410156,2151.02001953125,0.0,0.0,737735.1875,0.5601353520224187,0.6873801271812751,0.8148844080935196,0.17841435396467595
data/伯爵特级初榨混西王玉米胚芽油/第三轮/6：5/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,6:5,54.5455,45.4545,light_adulteration,278.733642578125,8554.900390625,821.3358764648438,2634033.0,173.93362426757812,5194.0,157.69781494140625,3542.949951171875,111.93584442138672,2434.219970703125,0.0,0.0,791755.1875,0.6435549437274448,0.7098122681862461,0.9066551375491954,0.1908587313484563
data/伯爵特级初榨混西王玉米胚芽油/第三轮/7：4/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,7:4,63.6364,36.3636,light_adulteration,286.7256774902344,8560.8095703125,849.2962036132812,2709557.75,173.4966278076172,5185.66015625,174.48484802246094,3841.97998046875,125.89738464355469,2666.820068359375,0.0,0.0,846887.875,0.7256474405802823,0.7215376311976994,1.005695898655988,0.20068945815265016
data/伯爵特级初榨混西王玉米胚芽油/第三轮/8：3/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,8:3,72.7273,27.2727,light_adulteration,306.1908874511719,8582.3095703125,901.2685546875,2893503.75,175.51034545898438,5198.5400390625,203.3407440185547,4249.02001953125,149.56227111816406,3081.3701171875,0.0,0.0,948031.875,0.8521564348522085,0.7355253424714099,1.1585684156009235,0.21297708212583782
data/伯爵特级初榨混西王玉米胚芽油/第三轮/9：2/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,9:2,81.8182,18.1818,light_adulteration,315.4467468261719,8595.0595703125,932.7734985351562,2980971.75,175.48081970214844,5199.6298828125,213.98101806640625,4502.5498046875,159.57839965820312,3299.18994140625,0.0,0.0,983662.875,0.9093780107688395,0.7457596022041564,1.219398320626765,0.21900881818863094
data/伯爵特级初榨混西王玉米胚芽油/第二轮/10：1/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,2,10:1,90.9091,9.0909,pure_evoo_proxy,326.32879638671875,8611.0498046875,951.7315063476562,3083807.25,167.86984252929688,5197.7900390625,226.98782348632812,4646.52001953125,172.89456176757812,3512.43994140625,0.0,0.0,1017922.25,1.029932226852909,0.7616909063683804,1.3521655749128871,0.2292981180534866
data/伯爵特级初榨混西王玉米胚芽油/第二轮/1：10/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,2,1:10,9.0909,90.9091,heavy_adulteration,190.9016571044922,5097.02978515625,537.09033203125,1804020.625,105.69977569580078,1723.1400146484375,34.043087005615234,709.031005859375,18.374296188354492,422.2430114746094,0.0,0.0,277913.15625,0.17383476827235778,0.5397364711839228,0.32207340516517563,0.08925557596028973
data/伯爵特级初榨混西王玉米胚芽油/第二轮/2：9/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,2,2:9,18.1818,81.8182,heavy_adulteration,222.95404052734375,6882.85009765625,619.9118041992188,2106915.75,133.60789489746094,3467.3701171875,65.52394104003906,1508.81005859375,40.34451675415039,944.8889770507812,0.0,0.0,423898.8125,0.3019620695554797,0.6157217575447074,0.49041967617188015,0.12848608217349397
